Index;date;Taux
I01406Y Index;03/03/2020;-0.563
I01403M Index;04/03/2020;-0.655
I01407Y Index;04/03/2020;-0.506
I01408Y Index;04/03/2020;-0.449
I01406M Index;04/03/2020;-0.677
I01409Y Index;04/03/2020;-0.38
I01401Y Index;04/03/2020;-0.705
I01402Y Index;04/03/2020;-0.775
I01410Y Index;04/03/2020;-0.305
I01403Y Index;04/03/2020;-0.759
I01415Y Index;04/03/2020;-0.035
I01420Y Index;04/03/2020;0.204
I01404Y Index;04/03/2020;-0.719
I01405Y Index;04/03/2020;-0.641
I01430Y Index;04/03/2020;0.448
I01406Y Index;04/03/2020;-0.568
I01403M Index;05/03/2020;-0.667
I01407Y Index;05/03/2020;-0.526
I01408Y Index;05/03/2020;-0.473
I01406M Index;05/03/2020;-0.68
I01409Y Index;05/03/2020;-0.406
I01401Y Index;05/03/2020;-0.704
I01402Y Index;05/03/2020;-0.77
I01410Y Index;05/03/2020;-0.331
I01403Y Index;05/03/2020;-0.757
I01415Y Index;05/03/2020;-0.058
I01420Y Index;05/03/2020;0.182
I01404Y Index;05/03/2020;-0.719
I01405Y Index;05/03/2020;-0.652
I01430Y Index;05/03/2020;0.427
I01406Y Index;05/03/2020;-0.585
I01403M Index;06/03/2020;-0.662
I01407Y Index;06/03/2020;-0.519
I01408Y Index;06/03/2020;-0.473
I01406M Index;06/03/2020;-0.683
I01409Y Index;06/03/2020;-0.418
